Date,Revenue,COGS,Split,year,month,day,day_of_week,is_weekend,quarter,is_month_start,is_month_end,is_near_payday,month_sin,month_cos,dow_sin,dow_cos,is_public_holiday,is_tet,days_to_tet,days_since_tet,is_commercial_event,active_promos,total_discount_value,max_discount_value,stackable_promos,rev_lag_1,cogs_lag_1,rev_lag_7,cogs_lag_7,rev_lag_14,cogs_lag_14,rev_lag_30,cogs_lag_30,rev_lag_365,cogs_lag_365,rev_rolling_mean_7,cogs_rolling_mean_7,rev_rolling_std_7,cogs_rolling_std_7,rev_rolling_mean_14,cogs_rolling_mean_14,rev_rolling_std_14,cogs_rolling_std_14,rev_rolling_mean_30,cogs_rolling_mean_30,rev_rolling_std_30,cogs_rolling_std_30
2013-07-04,2521315.44,2408274.98,Train,2013,7,4,3,0,3,0,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,181,139,0,1.0,18.0,18.0,0.0,8038680.63,7869401.17,7748199.74,7462815.86,7078652.68,5515676.8,5397308.75,4297393.33,5123547.94,3982991.19,7508508.687142857,7266915.7514285715,1111577.1405380422,1054954.7340473284,6922596.3042857135,6355766.649999999,1320187.6616268957,1532435.2243153846,6182359.439333334,5329885.260333333,1431960.9242246302,1595643.8966456624
2013-07-05,2494107.65,2432073.97,Train,2013,7,5,4,0,3,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,180,140,0,1.0,18.0,18.0,0.0,2521315.44,2408274.98,6285354.21,6043485.1,5526354.45,4396745.86,6860958.96,5505167.85,2751773.45,2150580.23,6761810.93,6544838.4828571435,2172761.8498151423,2105382.830036296,6597072.215714285,6133809.377142857,1765503.580533972,1854638.2482099156,6086492.995666667,5266914.648666667,1575415.41206159,1673187.2538620848
2013-07-06,2452372.43,2331799.51,Train,2013,7,6,5,1,3,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,179,141,0,1.0,18.0,18.0,0.0,2494107.65,2432073.97,9546012.78,9167617.84,5117274.96,4111300.17,5692902.11,4632206.37,3054029.42,2517632.84,6220204.278571428,6028922.607142857,2715949.197550788,2626661.809029549,6380483.158571429,5993475.670714286,2067182.5460993638,2059231.0941048532,5940931.285333334,5164478.186,1698334.5441594103,1750387.8607333521
2013-07-07,2958215.01,2950992.63,Train,2013,7,7,6,1,3,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0,0,178,142,0,1.0,18.0,18.0,0.0,2452372.43,2331799.51,7372318.59,7149429.97,5844565.63,4855247.11,3843507.28,2986865.05,2667930.94,2108246.62,5206827.085714286,5052377.131428571,2588606.4966816315,2534361.7711298633,6190132.977857143,5866368.480714286,2301826.4000985846,2232017.4635384153,5832913.629333333,5087797.957333333,1813782.0696349253,1823375.3439080648
2013-07-08,2571901.18,2450996.77,Train,2013,7,8,0,0,3,0,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,177,143,0,1.0,18.0,18.0,0.0,2958215.01,2950992.63,6359864.53,6248239.94,5243774.5,4800223.91,3646959.35,2897196.14,2360851.9,1808622.79,4576240.86,4452600.368571429,2509605.9273474417,2450782.1397813293,5983965.076428571,5730350.303571428,2459050.2575559993,2353111.8864087053,5803403.886999999,5086602.21,1854020.6660139477,1824811.8158039844
2013-07-09,4624825.33,4592718.95,Train,2013,7,9,1,0,3,0,0,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,176,144,0,1.0,18.0,18.0,0.0,2571901.18,2450996.77,7209130.33,6927420.38,6728887.1,6142934.34,3880132.51,3070545.08,3548386.46,2787841.68,4035103.238571428,3910137.0585714285,2468973.678232351,2406942.3541251,5793116.982142857,5562548.365,2619372.241470255,2503498.8096868587,5767568.614666667,5071728.897666666,1906777.5485691354,1844979.0893427588
2013-07-10,3855254.64,3797797.81,Train,2013,7,10,2,0,3,0,0,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,175,145,0,1.0,18.0,18.0,0.0,4624825.33,4592718.95,8038680.63,7869401.17,8817278.13,8290194.65,4476887.83,3582347.82,5234938.62,4044438.84,3665916.81,3576608.282857143,2077427.0936879343,2055215.246781406,5642826.855714286,5451818.694285714,2621911.5483169225,2510127.918068923,5792391.708666666,5122468.026666667,1886094.117277837,1808618.90006761
2013-07-11,5785320.61,5626075.87,Train,2013,7,11,3,0,3,0,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0,0,174,146,0,1.0,18.0,18.0,0.0,3855254.64,3797797.81,2521315.44,2408274.98,7748199.74,7462815.86,5003847.86,3903592.44,5582884.78,4338313.07,3068284.5257142857,2994950.6599999997,847432.8818414244,875217.4174679023,5288396.606428572,5130933.205714285,2491941.5427861847,2404283.200564447,5771670.602333333,5129649.693000001,1904371.0899443303,1802710.6131368645
2013-07-12,6053300.71,5886949.95,Train,2013,7,12,4,0,3,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,173,147,0,1.0,18.0,18.0,0.0,5785320.61,5626075.87,2494107.65,2432073.97,6285354.21,6043485.1,7209020.15,5796177.46,5734632.02,4458811.27,3534570.978571429,3454636.501428571,1282575.7576788738,1271186.2684490136,5148190.954285714,4999737.492142857,2396281.4099787246,2315732.602833157,5797719.694,5187065.807333334,1898842.8972259907,1789697.7720466657
2013-07-13,4161301.31,3995435.41,Train,2013,7,13,5,1,3,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,172,148,0,1.0,18.0,18.0,0.0,6053300.71,5886949.95,2452372.43,2331799.51,9546012.78,9167617.84,6845836.24,5559998.61,5309511.71,4143402.78,4043027.1300000004,3948190.2128571426,1490064.0568733194,1464060.2727532205,5131615.704285714,4988556.409999999,2388600.761960404,2310677.7891049227,5759195.712666666,5190091.557,1880861.4668460584,1790839.4438488968
